Origin interactor	Destination interactor	Interaction Name	Interaction Frame	Destination Area	Origin Area
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	363	1529.5539663219504	901.1201397086115
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	364	1464.3053159959013	932.0214086816331
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	369	1436.928699981292	995.0620346164287
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	370	1474.8698441206745	1047.8904861855976
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	371	1464.0445678817275	1042.1371092998909
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	372	1485.772067380992	1041.002419561127
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	373	1460.9752856616767	991.1485194182432
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	374	1441.4123877882118	991.0114706671599
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	379	1387.302814235897	998.5085322559565
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	382	1489.6169655035667	1036.3348540069833
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	557	1040.9086368454016	941.1672962361575
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	584	3706.5891665773393	1056.226560881923
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	585	3749.627499655226	1076.1136364091676
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	587	3820.630072271709	978.9051705690572
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	588	3778.16854849417	966.724707284992
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	782	1077.6754141739077	960.0887982686359
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	784	1011.4304763344963	933.0401779709558
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	786	1056.1143917115783	961.6755299693397
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	790	998.1833070093395	988.6347535028394
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	791	976.6536124390796	1268.387151339961
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	1470	3605.5810196452003	1021.6134485614697
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	1474	3668.860172100822	988.0003291322579
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1497	3217.135008599353	1043.9342461654362
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	1523	3936.7721460749995	922.9611336766308
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	1746	3372.2090986165053	987.707760615063
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	1747	3349.470847255214	897.2888339296215
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	1748	3343.2675720938246	977.1084933054774
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	1749	3316.8808632770165	961.5754400986195
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3300	1199.161420334919	971.6673320974028
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3301	1061.2924097450953	912.3037302845136
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3302	1092.0522810236885	965.941254072064
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3303	1045.9418970648314	1203.2811023974707
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3322	1151.112258291747	991.9162079769291
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3323	937.9511602496958	950.7316662027449
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3324	973.3680148854604	1002.8798720589493
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3325	1023.2346828722209	1030.8580424294735
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3332	877.6094234943832	1047.941468858794
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3333	876.1468930700744	942.2905601878199
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3334	889.5356077072963	1061.2815089018836
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3340	916.794793046113	978.1102909419059
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3341	881.6474358733409	1014.3644722554499
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7388	987.6012928559896	938.0840604947779
